NOME,Curriculo 
Edite Magalhães (Nutróloga) ,"Médica Nutróloga - Título de especialista ABRAN/CFM
Especialista em terapia parenteral e enteral - SBNPE/CFM
Residência em Clínica médica - Santa casa de misericórdia do Recife 
Coordenadora da equipe de terapia nutricional e do serviço de nutrologia do hospital Santa Joana"
"Eduardo Inojosa 
(Oncologista)",Oncologista clínico grupo Oncoclínicas e do Hospital Barão de Lucena e preceptor da residência de oncologia do Hospital do câncer de Pernambuco
"Eriberto Marques 
(Oncologista)","Oncologista da rede Américas 
Fellow oncologia Sylvester cancer center 
Ex presidente da SBOC Nordeste"
"Felipe Coelho
(Radioterapeuta)","Graduação em medicina pela Universidade Federal de Pernambuco (UFPE);
Residência médica  em Radioterapia no IMIP 
Membro titular da Sociedade Brasileira de radioterapia 
Rádio-oncologista do HUOC-PE (Hospital Universitário Oswaldo Cruz)  e da Oncoclinicas Radioterapia Recife , sendo também responsável Técnico deste último."
"Flávio Fernandes 
(Cirurgião abdominal) ","Cirurgião  do Aparelho Digestivo do Santa Joana, Ebserh e Hospital dos Servidores."
"Francisco Ambrósio 
(Oncologista) ","Especialização em Clínica médica no Hospital das Clínicas - UFPE 
Especialização em Oncologia Clinica no Real Hospital Português da beneficência em Pernambuco 
Oncologista clínico pela Unionco Recife e Rede Americas"
Gustavo Fernandes ,"VP de oncologia da Rede Américas. 
Fellowship em Oncologia Gastrintestinal pelo Memorial Sloan Kettering Cancer Center
⁠Ex-presidente da SBOC(sociedade brasileira de oncologia clínica)"
Gustavo Ferreira (Patologista) ,"Graduação pela UFPE, mestrando e professor substituto na mesma instituição. 
Residência médica na EPM(escola paulista de medicina)/UNIFESP.
Trabalha no Hospital Otávio de Freitas e também nos laboratórios SPAC e Citomaxx."
"Gustavo Lima 
(Gastro Hepatologista) ","Médico do ambulatório de Pâncreas e doença inflamatória intestinal ( HC-UFPE )
Membro títular da FBG ( Federação Brasileira de Gastroenterologia)
Membro títular do Gediib ( Grupo de estudo da doença inflamatória intestinal)
Professor da disciplina de Gastroenterologia ( Uninassau )"
"Ilan Pedrosa
(Oncologista) ","Oncologista clínico do Hospital Santa Joana e Onkos.
Preceptor da Residência médica em Oncologia do Hospital de câncer de Pernambuco. 
Coordenador da Residência médica em Oncologia Clincia do Santa Joana"
"Ilka Rocha
(Oncologista)",Oncologista Clínica Hospital Santa Joana Rede Américas
"Isaac Esmeraldo
(Cirurgião)","Médico cirurgião, especialista em Cirurgia Geral, Cirurgia do Aparelho Digestivo, minimamente invasivas e robóticas.
Chefe da Emergência e Preceptor das Residências Médicas de Cirurgia Geral e Cirurgia do Aparelho Digestivo do Hospital Getúlio Vargas (HGV). Atua também como cirurgião das clínicas Cirúrgica e Digest."
"Ítalo Cruz 
(Radiologista)","Radiologista Abdominal e Oncorradiologista pela Beneficência Portuguesa de São Paulo. 
Radiologista do Hospital Santa Joana
Preceptor da residência médica em radiologia e diagnóstico por imagem do Hospital da Restauração. 
Criador do perfil educacional e pós graduação @radiologiabdominal                                                                                                                                                            "
"João Mangueira
(Oncologista)
","Residência em Oncologia Clínica pelo IMIP
Oncologista Clínico da Rede Américas e do Hospital do Câncer de Pernambuco 
Pós-Graduação em cuidados Paliativos pela Santa Casa de Misericórdia da Bahia"
"João Paulo Ayub
(Radiologista) ","Membro Titular da Sociedade Brasileira de Radiologia Intervencionista e Cirurgia Endovascular - SOBRICE
Radiologista Intervencionista e Cirurgião Vascular do IMIP, Barão de Lucena e Angiorad"
"Joyce Cavalcanti
(Coloproctologista) ","Médica Coloproctologista pelo hospital Barão de Lucena
Atua como Coloproctologista no Hospital Santa Joana 
Preceptora da residência de Coloproctologia do Hospital Barão de Lucena"
"Leandro Apolinário 
(Oncologista)","Oncologista clínico do Hospital Santa Joana Recife (Americas Oncologia) e do Hospital Universitário Oswaldo Cruz (Universidade de Pernambuco);
Ex-research FELLOWSHIP IOSI, Swizterland"
"Leila Beltrão
(Hepatologista) ","Prof titular de gastroenterologia - FCM/UPE
Chefe do serviço de gastrohepatologia - HUOC/UPE
Presidente do Instituto e transplantes de PE"
"Lilian Rose Gomes 
(Hepatologista) ","Gastrohepatologista do Hospital Santa Joana 
Coordenadora da hepatologia  do Imip 
Mestre em Medicina tropical pela UFPE"
"Luis Felipe
(Oncologista) ","Preceptor da Residência de Oncologia Clínica do IMIP
Médico Oncologista da Rede Americas.
Médico Oncologista no IONE"
"Manoel de Andrade
(Cirurgião)","Cirurgião Oncológico 
Titular da SBCO
Preceptor da residência de cirurgia Oncológica IMIP
Preceptor de residência Cirurgia Geral Hospital Barão de Lucena 
Cirurgião Oncológico Rede D’Or São Luiz - Memorial São José e Memorial Star
CirurgiãoVideolaparoscópico e Cirugião Robótico
Cirurgião Oncológico Santa Joana"
Marcella Campos (Nutricionista),"Nutricionista pela UFPE 
Pós graduada em nutrição clínica pelo IMIP 
Especialista em Nutrição Oncológica pela SBNO 
Doutoranda e Mestre em Nutrição pela UFPE 
Nutricionista do ambulatório de oncologia do hospital das clínicas de Pernambuco 
Atendimento em consultório particular 
Professora de pós graduação"
"Murilo Araújo
(Oncologista)","Chefe da Subseção de Oncologia clínica do Hospital de Aeronáutica de Recife. 
⁠Oncologista clínico da Rede OC e Onkos 
Preceptor da residência de Clínica Médica do Hospital Getúlio Vargas e do Hospital de Aeronautica de Recife"
"Nadja Rolim 
(Radiologista)","Médico Radiologista com título de especialista pelo CBR
Mestrado pela UFPE 
Pós graduação em medicina interna e saúde da mulher
Preceptora de radiologia no HC e HGV  "
"Nildevande Firmino
(Oncologista Clínico)","Oncologista pelo Hospital Sírio Libanês (SP).
Oncologista do Hospital Santa Joana "
"Olival Lucena
(Cirurgião abdominal)  ","Professor Adjunto de Cirurgia da UPE
Professor de medicina de emergência da UNINASSAU
Cirurgião do Aparelho Digestivo e Transplante de Fígado HUOC, HCP e HSJ
"
"Omar  Jacobina
(Cirurgião geral)","Cirurgião Geral e do Aparelho Digestivo do Hospital Santa Joana Recife;
Coordenador Médico da Linha Cirúrgica do Hospital Santa Joana.
Coordenador médico do Bloco Cirúrgico do Hospital Alfa;"
"Paulo Carvalho 
(Preparador físico)","Professor Titular da Universidade Federal de Pernambuco. 
Pós doutorado em Biologia aplicada a Saúde - LIKA.
Chefe do Serviço de Promoção de Saúde e Qualidade de Vida - HC/UFPE/HUBrasil.
Membro da COESAS - Sociedade Brasileira de Cirurgia Bariátrica e Metabólica.
Docente Permanente do Programas de Pós Graduação em Educação Física e Cirurgia da UFPE.
Mais de 30 anos Elabora e Prescreve programas de Treinamento para pessoas portadoras de doenças crônicas nao transmissíveis.
Especialista em programas de treinamento especializados para redução da inflação e dor."
"Pedro Paulo
(Cirurgião)",
"Pedro Pinheiro
 (Cirurgião) ",
"Pedro Uson
(Oncologista) ",
Phabllo Rodrigo (Cirurgião),"Especialista em Cirurgia Geral e Coloproctologia
Memorial São José/Star e Unimed"
Rafael Caires (Oncologista),"Oncologista Clínico da Rede D’Or e Gerente Médico do IDOR Pernambuco
Formado pelo ICESP/USP"
"Rafael Fontolan 
(Cirurgião) ","Cirurgião do Aparelho Digestivo e transplante de fígado pela FAMERP.
Mestrado em cirurgia pela FAMERP. 
Proctor de cirurgia robótica pelo Colégio Brasileiro de Cirurgiões e Intuitive surgical. 
Responsável pelo programa de transplante hepático robótico  dos hospitais: 9 de julho e beneficência portuguesa."
"Ricardo Machado
(PET)","Médico do serviço de Medicina Nuclear do Hospital Santa Joana e do setor de 
PET/CT do Hospital Memorial Star e da clinica CEMUPE.
Coordenador da Residência de medicina nuclear do Hospital IMIP"
"Roberto Borges
(Oncologista) ","Oncologista clinico RedeDor, IMIP e Hospital Barao de Lucena"
Roberto Lustosa ,
"Rodrigo Arruda
(Oncologista)","Coordenador Oncologia Clínica do Hospital do Câncer de Pernambuco;
Oncologista Clínico do Imip, Santa Joana e Unionco; 
Mestre pelo IMIP"
Romulo Furtado (Cirugião),
"Rossano Araújo 
(Oncologista)","Oncologista clínico do hospital Santa Joana Recife e da clínica professor Antônio Figueira Filho.
Mestre em medicina pela UPE.
Doutorando em medicina translacional -UNIFESP -SP.
Especialista em oncologia mamária pelo MD Anderson Câncer Center-Houston tx-USA.                                                                                                                                                                        Especialização em tumores ginecológicos pela Escola de Tumores Ginecológicos do Instituto Oncoclinicas.
Professor assistente de oncologia mamária da disciplina de mastologia da UPE-PE"
"Samara Duarte
(Coloproctologista)","Membro da regional norte e nordeste de Coloproctologia
Memvro da Sociedade Brasileira de Coloproctologia
Coloproctologista da Endograstro"
"Simone Fumolaro - IT
(Cirugiao Hepatobiliar)","Cirurgião Hepatobiliar e Cientista, Policlinico Universitario Gemelli (Roma) - Professor Assistente, Universidade Católica do Sagrado Coração - Pesquisador Sênior, IRCAD França"
"Tainã Reis
(Nutricionista) ","Graduada em Nutrição pela UNINASSAU
Atuante em Nutrição Clínica hospitalar
Atualmente Nutricionista Oncológica no Hospital Santa Joana Recife"
"Thaís Gelenske
(Endocrinologista) ",
"Thales Batista
(Cirugião)",
"Thiago Apolinário
(Oncologista) ","Residencia em Oncologia Clinica pelo IMIP-PE;
Oncologista clínico do Hospital Santa Joana;
Oncologista clínico do Hospital Universitário Oswaldo Cruz - Universidade de Pernambuco;
Membro ASCO, ESMO e SBOC e GBOT"
"Tiago Iwanaga
(Cirurgião)",
"Tibério Medeiros
(Gastro Hepatologista) ","Médico gastrohepatologista e Coordenador do Instituto do fígado do Hospital Santa Joana.
Médico hepatologista do IMIP
Professor de Gastroenterologia da Faculdade de Ciências Médicas - PB"
"Tien Chang
(PET)","Coordenador do serviço de Medicina Nuclear e PET/CT do IMIP
Medico Nuclear do Hospitais Santa Joana e Memorial Star"
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,

